Type,L,w,P,a,RL,DeltaMax
2,3.5272305155436445,28.79937067569988,74.07144092700433,1.4189976191807383,101.5820190757814,0.0027861108232812544
7,6.789507493160562,32.05398171207708,41.04110424616414,4.6322076321602905,9.797300334943106,0.00021809643713166456
2,11.061187615092642,14.476347869450546,63.48927554129726,10.026066368761251,160.12559976533913,0.13543972487585718
7,14.572642655036733,47.11421290011884,12.920578203283274,1.7203320272554383,12.422896685640005,7.521357239359522e-05
8,13.294529682519883,45.05651383754342,23.653798498240608,8.426593450217755,299.5025803020444,0.01832686910231676
5,4.723218209223443,46.07312219605887,32.13213754856687,0.4815239485831703,31.648215380415586,1.465990397391662e-05
4,12.676200528094698,30.32246717876613,51.775626434686764,6.623742841377442,192.18683723230467,0.05097177086063433
2,13.91388222721871,14.528699239869802,67.44423141684167,9.189438673950743,202.15061013823043,0.34032985037624863
3,4.063327188290513,3.625815187195336,46.71467218184847,3.665478099892659,4.573933843159723,4.0749121823810174e-05
7,12.943011073657983,45.68144003296355,34.938925618539564,7.46669404859518,13.471545299363987,0.0018361287935227343
1,6.863790080223611,28.429637407620906,91.12345712905078,2.4336704888320226,91.12345712905078,0.008166450314490006
8,4.611999901641006,39.29091563369474,1.4522747464759678,2.4526059646900684,90.60484951899261,0.00023146646929155703
3,3.764011454780941,33.1855005201182,88.13287066364958,2.415365621996167,31.578019934269282,0.000414092457698785
5,5.150200408078925,9.121191009184987,11.163281380484392,0.9148476538350501,10.666203316568193,1.7800155188343125e-05
2,11.50573217851767,29.8653718409891,88.1694418523308,3.771341177355921,343.6229698142638,0.3271184097133917
7,5.352460312262545,1.467772377596538,70.97769951683973,3.724307350608342,15.707186542476318,0.00017200158730102037
4,6.939669492009686,49.09004668615828,94.89941770394907,5.028267545654176,170.3343496746319,0.0074123749306522
4,9.382339624604974,49.35445875325074,99.63214549302101,5.587562674669214,231.5301470057781,0.024898877947173055
8,9.249091855641364,22.231529800058148,88.4229950182152,2.864155398562671,102.81073060608304,0.0021183830790786067
4,5.500382952228397,7.622149691711372,74.78960731479796,0.4290024032418492,20.96237111181108,0.0004542113343682913
2,3.0420915315012285,25.312384760125017,91.30295631472012,2.368881328618518,77.00259132087707,0.001354884233951196
1,11.781746861181023,41.20090307301531,32.94145686024281,6.550202316133499,32.94145686024281,0.03391475192856441
2,13.573069503480333,31.65183492936216,35.62106140019991,1.5687342861441045,429.6125554089191,0.6714152502605355
5,14.38818954644165,0.06892651656726367,74.14610691381858,13.656397426468605,5.651796951440679,0.0013279748396099475
