L,P,a,delta
11.664667193644174,56.919597223094456,4.069416457136722,0.00024291186496910183
13.39658791114355,78.90359725593335,6.824146305369622,0.0010216717422600675
14.70625806003463,83.0196579835052,3.7710891316415798,0.00039696471973675953
13.269640108711332,84.29348593012821,3.028854145738296,0.00023701836363908423
3.1405690102200237,41.46441491748875,2.2316836461234337,1.2373423007245187e-05
7.319736773740367,42.12733963164108,2.9070684745621693,5.652455047371118e-05
11.759886749088697,92.6265880140584,3.0494512002419936,0.00023134542670846543
5.059556127137286,66.17635946044105,4.161881388137705,0.00010523397515778072
9.252439274449552,8.046718397913876,3.8076603026909854,2.3283767653190882e-05
3.6520558600710435,54.218695409246834,0.5634506774460174,1.4907634129294033e-06
5.3999582987568004,35.600725963490696,3.7110844453949206,5.1026955874002396e-05
3.2222615335273677,98.74349897163631,0.9730417509351816,6.773248459660233e-06
12.524372440289048,1.3655406462292574,6.997592581890142,1.703705836095811e-05
5.687096256724562,61.218087307055804,3.4766569319943064,8.376643999435376e-05
7.144220168362832,72.3623094398858,6.546369920371801,0.0003846969565123034
14.13697552158709,28.890677135735523,3.1382824717976234,9.312165353006976e-05
11.452972823082394,97.36415182565321,3.5018020052510583,0.00030701270823456416
3.382067154375694,85.95366270217113,3.0066504249755264,4.622957681419837e-05
4.976329877974953,91.56528409858124,3.4658326996437907,0.00010506765251083169
10.457740817997163,1.923205935154848,4.75197543797299,9.63432547994504e-06
9.926743063250012,56.987215131480895,7.060853204768344,0.000537906698067412
5.8547138564941035,29.46502419545467,2.4709621408562685,2.262759900147364e-05
14.210567975097526,84.9028634935663,5.954886914818189,0.0009201947841385479
10.367591471590751,63.28496569149624,1.9778780799765836,6.0087305029355584e-05
9.4275936362995,53.887700432110975,4.9008725364924635,0.0002521942463581447
10.078919716254852,11.458816967560569,2.886582174411949,2.1761384776397888e-05
11.761464354201236,54.02228047861908,7.294861168528616,0.0006705348657421855
6.743339945755222,63.19041463564267,2.7563102931168877,6.990549016792799e-05
7.778652746593103,95.59123093102045,6.365652147787306,0.0005477877164050302
5.518124987701466,58.505101042386954,4.106733919211015,0.00010235113761569412
5.234316070564034,96.74006017456544,0.9586121734161906,1.092285597090742e-05
14.332468679807203,96.16061156066621,8.341249778309582,0.0019322290909760977
11.87460954059145,65.02003358335975,8.221582540383755,0.0010036053043561972
8.885505703410805,50.59079841180887,4.558236173929803,0.00019357194974945776
5.728975535679879,46.602174382604936,0.8739698485784024,4.838943146917535e-06
6.052277781244715,89.03785611157826,3.043827608795273,0.00010389254841333741
3.6963499238865074,2.8256682971756764,1.6249490289142672,5.884353744113923e-07
8.21299950669745,11.380819802357156,2.8185288951897727,1.643998349987036e-05
