Type,L,w,P,a,RL,Delta
8,11.358017594724949,20.583060717876407,87.43176048544171,5.834755038662185,116.89138289346609,0.004460246731088241
8,5.067838454419558,9.614450940433539,4.086861626647886,1.023913970764196,24.362242097029686,8.257609056472125e-05
4,7.171430573792202,1.5902340742582566,54.87153092074087,3.80789447730812,5.7021266298109,0.00027383757033677794
4,5.47600462086951,18.213493052403773,50.34172708548569,3.6763449756624116,49.868586058568894,0.0010662456011348129
1,4.107487034744953,24.05726970281466,68.7784717096083,2.0968364461807756,68.7784717096083,0.002576856511524952
3,14.050468806381758,3.0538979927431873,27.687764814720374,10.897278780376801,6.213656288571184,0.007999983837729761
1,10.167336987065166,49.31284979334076,53.65906459873325,8.963906408822448,53.65906459873325,0.07738627803318186
6,10.419057258363551,18.445681978488622,46.25347161331479,7.530101115958674,120.11663543964852,0.005890846502086108
6,4.77286910287472,6.655846429373913,68.71655054033312,3.8660077712051497,19.85467736014861,9.360319637894802e-05
3,9.385361823183787,5.358600566988803,44.741236682345466,4.9681932742191215,21.05721518661695,0.003852918402224989
7,4.25842999838977,36.87026030469095,18.228387847595805,2.3743667792273824,7.547075845029485,3.665773048124072e-05
1,5.537376083958536,16.374867608895734,11.976213181925122,4.714934824031477,11.976213181925122,0.0026395760670585877
4,8.687639297166674,17.75521516396524,64.8822840291576,4.184174646934543,77.12545249405703,0.006584788775019104
4,9.445278501822573,29.342055901043956,74.54394741843299,4.141694093989838,138.57194490070333,0.015204018744894417
3,7.545271511415472,16.872341693595907,89.96473971450123,4.5030157749158235,36.273810036531685,0.004025554505407614
3,7.273160710774155,49.32576243964898,60.577481935688716,1.9165077586162218,44.61506631696055,0.002427781153927189
6,5.703993572550338,18.267840983702882,48.78098008087379,4.6529515664630665,65.12477972213306,0.0005240498768762068
6,6.421142024326166,8.66867976473774,89.67654246264252,0.7847301496496695,34.7892649579896,0.00039936624414400407
3,3.2189097771403326,34.848073118321075,99.72555347683944,2.7584422764513126,14.265816547708571,0.00034646680751249223
4,14.633645199304427,43.275356294699016,81.707207094928,4.128334880151122,316.63810494505543,0.12919910969774526
8,11.674753159461307,41.04307365766763,71.84572708365536,6.20551725805532,239.58387692942912,0.00992817640132064
2,6.35974912392341,38.47464665959684,18.704374855752338,2.170654322334849,244.68910038663378,0.0393382099707191
